SMILES,frequency
[14*]c1ccno1,287
[4*]CC=C,286
[14*]c1nncn1C,281
[14*]c1cncs1,277
[13*]C1CCCCN1,276
[16*]c1cccc2ccccc12,272
[9*]n1cncn1,265
[4*]CC(F)(F)F,260
[16*]c1ccc2c(c1)OCCO2,259
[16*]c1ccc(F)cc1F,258
[16*]c1ccc(F)c(F)c1,257
[16*]c1ccccc1[N+](=O)[O-],254
[15*]C1CC[NH2+]C1,250
[16*]c1cccc([SH](=O)=O)c1,245
[3*]OC(F)F,244
[14*]c1ccc(C)o1,240
[16*]c1c(C)n[nH]c1C,238
[6*]C(=O)NNC=O,237
[16*]c1ccc(O)cc1,236
[16*]c1ccc(C#N)cc1,235
[16*]c1c[nH]c2ccccc12,233
[16*]c1ccccc1Br,233
[14*]c1nc[nH]n1,231
[14*]c1cccnn1,231
[14*]c1cc(C)on1,231
[9*]n1cnc2ccccc21,228
[16*]c1ccc(C)c(C)c1,228
[7*]=CC,225
[9*]n1ccnn1,222
[8*]CCCC,222
[14*]c1cccc[nH+]1,220
[1*]C(=O)CC(C)C,219
[15*]C1CC1C,217
[5*]N1CCCCCC1,216
[15*]C1CCCC(C)C1,216
[16*]c1c(C)noc1C,210
[16*]c1cc(C)ccc1C,209
[16*]c1cc(C)cc(C)c1,208
[14*]c1nnn[nH]1,208
[5*]N1CC(C)OC(C)C1,207
[14*]c1ncn[nH]1,207
[16*]c1ccc(Cl)cc1Cl,205
[16*]c1ccc2ccccc2c1,201
[16*]c1ccc(C)cc1C,200
[14*]c1ccnn1C,197
[15*]C1CCCCCC1,192
[16*]c1cccc(C#N)c1,187
[14*]c1scnc1C,187
[9*]n1cccc1,185
[4*]CC#C,182
[4*]CC(=O)[O-],181
[4*]CC#N,177
[4*]C1CCCC1,177
[16*]c1ccc(C)c(F)c1,176
[14*]c1ncco1,175
[4*]CCC(C)C,173
[16*]c1c(F)cccc1F,171
[9*]n1cc[nH+]c1,168
[14*]c1ncc[nH]1,167
[16*]c1cccc(O)c1,165
[8*]CCCC=O,165
[14*]c1c[nH]nn1,164
[5*]N1CCCNCC1,164
[5*]N1CC[NH+](C)CC1,161
[13*]C1CCCC[NH2+]1,158
[5*]N1CCc2ccccc21,157
[1*]C(N)=O,156
[14*]c1ccc(C)s1,156
[14*]c1cnco1,154
[16*]c1cccc(C)c1C,154
[16*]c1ccoc1,153
[4*]CC(N)=O,151
[15*]C1CCOC1C,146
[16*]c1ccc(Cl)c(Cl)c1,146
[16*]c1c(C)cccc1C,145
[16*]c1cc(F)ccc1F,144
[9*]n1nccc1C,143
[15*]C1CCCCC1C,140
[5*]N1CCc2ccccc2C1,138
[8*]CC(=O)[O-],138
[4*]C(C)C(C)C,136
[8*]C(C)CC,136
[1*]C(=O)CCC=O,136
[5*]N1CCCCC1C,134
[5*]N1CCCC(C)C1,133
[14*]c1ccc[nH]1,133
[14*]c1ccc2ccccc2n1,132
[5*]N1CCC(C)CC1,132
[5*]NC(N)=[NH+]C,132
[4*]C(C=O)C(C)C,131
[13*]C1CCCCO1,131
[15*]C1CC=CCC1,131
[14*]c1cc2ccccc2o1,131
[8*]CC=C,129
[16*]c1cncnc1,129
[8*]CC#N,129
[14*]c1cccc(C)n1,129
[14*]c1cocn1,128
[10*]N1C(=O)c2ccccc2C1=O,128
[12*]S(=O)(=O)c1ccc(C)cc1,127
[8*]CC(C)O,127
[15*]C1C=CCC1,124
[14*]c1sccc1C,122
[14*]c1[nH]cc[nH+]1,122
[14*]c1ncncc1N,122
[16*]c1cn[nH]c1C,120
[13*]C1COCCN1,119
[16*]c1ccccc1C#N,118
[13*]C1NC(=O)NC1=O,118
[14*]c1csc(C)n1,117
[8*]C(C)[NH3+],115
[5*]N1CCC[NH2+]CC1,115
[7*]=C(C#N)C=O,114
[10*]N1C(=O)NC(C)C1=O,113
[1*]C(=O)C(C)CC,112
[9*]n1ccc(C)n1,112
[13*]C1(C)NC(=O)NC1=O,112
[14*]c1ccc(Cl)s1,111
[3*]OC(F)(F)F,111
[10*]N1C(=O)CCC1=O,111
[14*]c1nc(C)no1,110
[5*][NH+]1CCCNCC1,110
[4*]C1CCCCC1,109
[5*]N1CCC1,109
[7*]=C1SC(=S)NC1=O,109
[7*]=Cc1ccco1,108
[15*]C1CCNC1=O,108
[1*]C(=O)CC#N,107
[14*]c1cc(C)no1,106
[14*]c1ncc(C)s1,106
[10*]N1C(=O)CSC1=S,106
[8*]C(C)(C)O,105
[4*]CCC#N,105
[8*]CC[NH3+],104
[1*]C(=O)C(C)(C)C,104
[5*]N1CC(C)CC(C)C1,104
[16*]c1c(F)cccc1Cl,104
[14*]c1nccc(C)n1,104
[4*]CCCC=O,103
[4*]CCCO,103
[5*]N1CCCc2ccccc21,100
[14*]c1nc2ccccc2o1,100
[16*]c1cc[nH+]cc1,100
[15*]C12CC3CC(CC(C3)C1)C2,99
[14*]c1nc2ccccc2c(=O)[nH]1,98
[9*]n1c(C)ccc1C,97
[10*]N1CCCCC1=O,97
[7*]=C(C)C,97
[16*]c1c(C)cc(C)cc1C,96
[15*]C1CCC(C)CC1,96
[4*]CC(C)(C)O,95
[16*]c1cc(C)[nH]c1C,95
[9*]n1ccc2ccccc21,95
[12*]S(=O)(=O)c1cccs1,95
[12*]S(=O)(=O)CC,95
[14*]c1noc(C)n1,95
[13*]C1COc2ccccc2O1,94
[16*]c1c(C)nn(C)c1C,94
[4*]CC[NH3+],93
[8*]C(O)CC,93
[16*]c1cc(F)cc(F)c1,92
[5*]N1CCC(C)C(O)C1,92
[5*]N1CCOC(C)C1,92
[6*]C(=O)NNC(C)=O,91
[10*]N1C(=O)CNC1=O,91
[16*]c1ccnc2ccccc12,90
[5*]N1CCNC(=O)C1,90
[14*]c1ccc(=O)[nH]n1,89
[4*]C(C=O)CC,89
[5*]N1CCCC1C,89
[16*]c1ccc(C)c(Cl)c1,88
[14*]c1nccn1C,88
[16*]c1ccoc1C,87
[4*]C(C)CO,86
[9*]n1cnc2ccccc2c1=O,86
[9*]n1cc(C)cn1,86
[9*]n1ncccc1=O,86
[6*]C(=O)CC,86
[13*]C1CN(C)CCO1,86
[8*]CC(N)=O,86
[14*]c1cc(C)n[nH]1,85
[15*]C1CC[NH+](C)CC1,85
[13*]C1(C)CCCO1,84
[16*]c1cc[nH]c1,84
[15*]C1CC2CCC1C2,84
[15*]C1CNC1,83
[5*][NH+]1CCCCCC1,83
[5*][NH+]1CCC(C)CC1,83
[16*]c1cc(Cl)ccc1Cl,82
[14*]c1nncn1N,81
[14*]c1cc2ccccc2[nH]1,81
[8*]C[SH](=O)=O,80
[16*]c1cc(C)oc1C,80
[16*]c1ccc2c(c1)CCC2,80
[15*]C1CCC[NH+](C)C1,80
[16*]c1ccc(S(C)=O)cc1,79
[14*]c1ncncc1[N+](=O)[O-],79
[4*]CC(F)F,78
[9*]n1ccccc1=O,78
[14*]c1cccn1C,77
[4*]CC(C)C=O,77
[8*]C(F)F,77
[16*]c1ccc2ncsc2c1,77
[16*]c1ccccc1[SH](=O)=O,77
[8*]CCl,76
[5*][NH+]1CCCC(C)C1,76
[16*]c1ccc(F)cc1Cl,76
[5*]N1CCSCC1,76
[8*]CCC(C)C,76
[16*]c1ccc[nH+]c1,76
[15*]C1CC(C)OC(C)C1,75
[10*]N1C(=O)CSC1=O,75
[16*]c1cccc(F)c1F,75
[15*]C1CCCC1(C)C,75
[16*]c1ccc(S(C)(=O)=O)cc1,74
[10*]N1CCNC1=O,74
[1*]C(=O)NNC=O,73
[14*]c1ncoc1C,72
[14*]c1ncc(C)o1,72
[12*]S(=O)(=O)c1ccc(F)cc1,71
[8*]CCCO,70
[5*][NH+]1CCCCC1C,70
[16*]c1cnn(C)c1C,70
[16*]c1cc(Cl)cc(Cl)c1,70
[14*]c1nc(C)c(C)s1,70
[14*]c1nnc2ccccn12,69
[16*]c1ccc(F)c(Cl)c1,69
[16*]c1c(Cl)cccc1Cl,69
[14*]c1cc(C)ncn1,69
[14*]c1ncnn1C,68
[14*]c1ccc(Cl)cn1,68
[12*]S(=O)(=O)c1ccc(Cl)cc1,68
[15*]C1CC(=O)NC1=O,68
[4*]CC(=O)NNC=O,67
[16*]c1cccnc1Cl,66
[6*]C(=O)C1=C([O-])C(=O)NC1,66
[10*]N1CC(C=O)=C([O-])C1=O,66
[13*]C1NC(=O)C([O-])=C1C=O,66
[14*]c1nn[nH]n1,66
[9*]n1ncnn1,66
[8*]CS(C)=O,66
[14*]c1[nH+]ccn1C,65
[14*]c1cc(C)nn1C,65
[16*]c1ccc(Cl)c(F)c1,65
[14*]c1ccnc(C)n1,65
[16*]c1cn(C)nc1C,65
[14*]c1ccc(F)cn1,65
[15*]C1CCCOC1,64
[16*]c1cccc(Cl)c1Cl,64
[16*]c1cccc2cccnc12,64
[4*]CC(C)CC,64
[13*]C1CCC(=O)N1,63
[16*]c1ccccc1N,63
[16*]c1cscc1C,63
[4*]CCC(F)(F)F,62
[13*]C1CSCN1,62
[16*]c1cccc(Cl)c1C,62
[5*]N1CCN(C)CC1,62
[16*]c1ccc(S(N)(=O)=O)cc1,62
[16*]c1cccc(N)c1,62
[15*]C1CC(=O)N(C)C1,62
[1*]C(=O)CCC(C)C,62
[5*]N1CCSC1,61
[14*]c1ccc(Br)s1,61
[14*]c1ncccc1Cl,61
[16*]c1ccc2c(c1)CCO2,59
[5*]NC1CCCc2ccccc21,59
[5*]N1c2ccccc2CC1C,59
[4*]C(C)CC=O,59
[16*]c1ccc(C)nc1,59
[14*]c1nc2ccccc2n1C,58
[1*]C(=O)CCO,58
[7*]=C1SC(=O)NC1=O,57
[15*]C1CCCC1C,57
[8*]C(O)CC=O,57
[16*]c1ccc2c(c1)OCCCO2,56
[14*]c1nnc(C)o1,56
[10*]N1CCOC1=O,56
[4*]CC(C)(C)C,56
[15*]C1CCCC(C)C1C,56
[9*]n1ccnc1C,56
[8*]CC(C)C=O,56
[8*]CS(C)(=O)=O,55
[1*]C(=O)CCCC,55
[16*]c1ccc2cc[nH]c2c1,54
[4*]CCS(C)(=O)=O,54
[15*]C1C(C)(C)C1(C)C,54
[8*]CC(F)(F)F,54
[15*]C1CCCC1O,54
[16*]c1cc(Cl)ccc1C,53
[14*]c1nc(C)cc(C)n1,53
[14*]c1sc(C)nc1C,53
[5*]N1CCC(O)C1,53
[16*]c1ccc(N)cc1,53
[16*]c1ccc2[nH]ccc2c1,52
[13*]C1Nc2ccccc2C2C=CCC12,52
[8*]CCC(=O)[O-],52
[14*]c1cnc[nH]1,52
[16*]c1ccc(F)c(C)c1,52
[4*]C(C)C(C)(C)C,52
[4*]C(C)C(=O)[O-],52
[14*]c1n[nH]c(=O)c2ccccc12,51
[16*]c1cc2ccccc2oc1=O,51
[15*]C1CCCNC1=O,51
[14*]c1csnn1,51
[14*]c1cnc2ccccc2n1,51
[8*]CC(=O)NNC=O,50
[15*]C1CC[NH2+]C1C,50
[16*]c1coc2ccccc12,50
[15*]C1CCCCC1(C)C,50
[9*]n1cn[nH]c1=S,50
[14*]c1cc(=O)[nH]cn1,49
[8*]C(C)CC=O,49
[14*]c1cc(C)[nH]n1,49
[14*]c1nc(C)n[nH]1,49
[16*]c1ccc(F)cc1C,49
[14*]c1ccc(C#N)cn1,49
[16*]c1cc(C)ccc1O,48
[15*]C1COc2ccccc2C1,48
[15*]C1CCCCC1O,48
[14*]c1ccc(C)cn1,48
[5*][NH+]1CC(C)CC(C)C1,48
[16*]c1c[nH]nc1C,48
[9*]n1c(=O)oc2ccccc21,47
[13*]C1Cc2ccccc2O1,47
[14*]c1nnc2n1CCCCC2,47
[16*]c1ccc2c(c1)COC2,47
[16*]c1ccc(Cl)nc1,47
[14*]c1[nH]c(C)cc1C,47
[12*]S(=O)(=O)c1ccccc1C,47
[4*]CC#CC,47
[16*]c1cccnc1C,47
[15*]C1CNC(C)C1,47
[16*]c1ccc(Cl)cc1C,47
[14*]c1n[nH]c(=O)[nH]1,46
[14*]c1ccc(Br)o1,46
[4*]C(C)CCC,46
[16*]c1ccc[nH]c1=O,46
[15*]C1CCCC(S(C)(=O)=O)C1,46
[5*]N1CCOCC1C,46
[16*]c1c(C)c[nH]c1C,45
[15*]C1C[NH2+]C1,45
[14*]c1ncn(C)n1,45
[16*]c1ccc2c(c1)C(=O)NC2=O,45
[4*]CC(C)C#N,45
[5*]N1C(C)CCCC1C,45
[5*][NH+]1CCOCC1,45
[7*]=Cc1cc(C)[nH]c1C,44
[9*]n1c(C)cc(C)c1C,44
[6*]C(=O)CCC=O,44
[5*][NH+]1CCCC1C,44
[14*]c1ncnc(N)n1,44
[14*]c1nccc(=O)[nH]1,43
[13*]C1Cc2ccccc2CN1,43
[16*]c1ccc(C)cc1Cl,43
[4*]C(C)(C)CC,43
[15*]C1CCC(=O)NC1,43
[15*]C1CCOC2(CCOC2)C1,43
[16*]c1ccc(Cl)c(C)c1,43
[4*]CCCCC,43
[8*]C(C=O)CC,43
[9*]n1ncc2ccccc2c1=O,42
[14*]c1n[nH]c(=S)[nH]1,42
[14*]c1nnc(C)s1,42
[16*]c1cnoc1C,42
[14*]c1ncccc1C,42
[15*]C1CCOC2(CCSC2)C1,42
[4*]C(C)CC(C)C,42
[15*]C1COC1,42
[15*]C1CCC([NH3+])C1,41
[16*]c1ccc(C)c([SH](=O)=O)c1,41
[8*]C(C)(C)C=O,41
[16*]c1ccc(Br)cc1F,41
[14*]c1cnc(C)s1,41
[13*]C1CCC(=O)N1C,41
[16*]c1ccc(C)cc1Br,41
[4*]CC(=C)C,40
[14*]c1cn2ccccc2n1,40
[6*]C(=O)CC#N,40
[5*]N1CCC(O)CC1,40
[4*]CCC(N)=O,40
[16*]c1ccc(C)c([N+](=O)[O-])c1,40
[16*]c1cc([SH](=O)=O)ccc1C,40
[4*]C(CC)CO,40
[14*]c1ccnc(N)n1,40
[16*]c1cc(C)sc1C,40
[12*]S(=O)(=O)c1ccccc1F,40
[12*]S(=O)(=O)c1ccccc1Cl,39
[13*]C1CN2CCCCC2CO1,39
[14*]c1nn2cnnc2s1,39
[4*]C(CC)CC,39
[5*][NH+]1CCc2ccccc2C1,39
[14*]c1ncns1,39
[14*]c1ncsn1,39
[8*]CC(C)[NH3+],39
[16*]c1ccc2ccc(=O)oc2c1,39
[14*]c1cc(C#N)cs1,39
[16*]c1cncc(C)c1,39
[5*]NC1CCc2ccccc21,39
[14*]c1n[nH]c2ccccc12,39
[15*]C1CCCCCCC1,38
[16*]c1csc2ccccc12,38
[15*]C1CCC(O)CC1,38
[16*]c1ccc(C)cc1F,38
[13*]C1CCCCCN1,38
[9*]n1c(C)nc2ccccc21,38
[4*]C1(C#N)CCCCC1,38
[4*]C1(C)CCC1(C)C,38
[15*]C1CC(C)C1(C)C,38
[15*]C1CCC1C,38
[16*]c1ccc2c(c1)CCN2,38
[8*]CN,38
[1*]C(=O)C1=C(C)NC(=O)NC1,38
[7*]=C(C)C=O,37
[16*]c1c(C)[nH]c2ccccc12,37
[8*]CCC(F)(F)F,37
[16*]c1ccc(=O)[nH]c1,37
[5*]N1CCC(C)C1,37
[16*]c1cccc2ncccc12,37
[13*]C1NC(=O)NC(C)=C1C=O,37
[14*]c1n[nH]cc1C,36
[4*]C(C)C(N)=O,36
[8*]CC(C)(C)C,36
[14*]c1cc2c(s1)CCCC2,36
[16*]c1ccc2[nH]cnc2c1,36
[14*]c1n[nH]c(C)n1,36
[15*]C1CCCCC1S(=O)CC,36
[14*]c1c[nH]cn1,36
[15*]C1CCCC([NH3+])C1,36
[13*]C1NCCNC1=O,36
[16*]c1ccc(Br)c(C)c1,36
[15*]C1CC(C)C1,36
[14*]c1nnc2scnn12,36
[4*]CCC(C)C=O,35
[13*]C1CNCC[NH2+]1,35
[16*]c1cc(Br)ccc1F,35
[14*]c1ncsc1C,35
[4*]C1(C#N)CCCC1,35
[5*]N1CCCC(O)C1,35
[16*]c1ccc(Cl)cc1F,35
[13*]C1CCCCC[NH2+]1,35
[15*]C1CCSC1,35
[16*]c1cccc2c1OCCO2,35
[1*]C(=O)CO,34
[14*]c1nc(C)cc(=O)[nH]1,34
[7*]=Cc1cccs1,34
[8*]C(C)(C)CC,34
[15*]C1(C)CCCC1,34
[13*]C1CSCCS1,34
[15*]C1CCNC1C,34
[11*]SC(F)F,34
[4*]C(C)C(C)O,34
[8*]CC(C)=O,34
[6*]C(=O)NNC(=O)CC,34
[16*]c1ccc(I)cc1,34
[16*]c1ccc(Br)cc1C,34
[7*]=Cc1cccc(Br)c1,34
[15*]C1CC[NH+](C)C1,34
[16*]c1cncnc1C,34
[13*]C1NC(=O)c2ccccc2N1,33
[6*]C(=O)NN=Cc1ccccc1,33
[14*]c1cc(C)cs1,33
[16*]c1cccc(I)c1,33
[14*]c1ccc([SH](=O)=O)s1,33
[1*]C(=O)NNC(C)=O,33
[14*]c1ncccc1C#N,33
[16*]c1ccc2c(c1)CCC(=O)N2,33
[4*]C(C)CCCO,33
[14*]c1nnc2n1CCC2,33
[14*]c1nc2c(s1)CCCC2,33
[16*]c1cccc([N+](=O)[O-])c1C,32
[16*]c1ccc2ocnc2c1,32
[13*]C1COCCO1,32
[14*]c1oc2ccccc2c1C,32
[9*]n1nnc2ccccc21,32
[12*]S(=O)(=O)CCC,32
[5*]N1CCC(C)(C)C1,32
[4*]C(C)(C)C=O,32
[16*]c1csc2c1CCCC2,32
[7*]=Cc1cccc(Cl)c1,32
[1*]C(=O)C(C)S(C)(=O)=O,32
[8*]C(O)C=O,31
[13*]C1C[NH+]2CCN1CC2,31
[1*]C(=O)CS(C)=O,31
[8*]CS(=O)CC=O,31
[5*]NC1CCCc2ccc(F)cc21,31
[16*]c1ccc2c(c1)CCCN2,31
[4*]C1CCOCC1,31
[16*]c1cc(C)cc(F)c1,31
[13*]C1CCC[NH+]1C,31
[1*]C(=O)CN,31
[15*]C1CCC(C)(C)CC1,31
[16*]c1cncc(Cl)c1,31
[7*]=Cc1ccc(F)cc1,31
[16*]c1cc(F)cc(Br)c1,31
[9*]n1cnc2sccc2c1=O,31
[7*]=CCC,31
[14*]c1cnn[nH]1,31
[9*]n1nnc2ccccc2c1=O,30
[15*]C1C2CCOC2C1(C)C,30
[16*]c1cccc2scnc12,30
[16*]c1ccccc1I,30
[8*]C(C#N)C=O,30
[16*]c1cccc2c1NCC1CC=CC21,30
[14*]c1cn[nH]n1,30
[16*]c1ccc2c(c1)CNCC2,30
[4*]C(C)CCO,30
[6*]C(=O)NN,30
[5*]NC(N)=[NH+]CC,30
[9*]n1cn[nH]c1=O,29
[1*]C(=O)CC(C)(C)C,29
[15*]C1CCCC1[NH3+],29
[14*]c1occc1C,29
[16*]c1cc([N+](=O)[O-])ccc1C,29
[13*]C1C[NH2+]CCN1,29
[14*]c1ncnc2ccccc12,29
[16*]c1cc(Cl)ccc1F,29
[13*]C1CC(O)CN1,29
[4*]C(C)C(=O)NNC=O,29
[9*]n1c(=O)[nH]c2ccccc21,29
[4*]CCC(=O)[O-],29
[15*]C1CCC(C#N)C1,29
[10*]N1C(=O)NC(=O)C1=O,28
[5*]N1CCc2sccc2C1,28
[9*]n1nc[nH]c1=S,28
[8*]CC(C)CC,28
[5*]N1CCNC(C)C1,28
[5*]N1CCNCC1C,28
[8*]C(CC)CC,28
[4*]CCCCO,28
[4*]CC(C)CC(C)O,28
[15*]C1CCCCC1=O,28
[15*]C1CCCCCC1[NH3+],28
[16*]c1cc(=O)[nH]c2ccccc12,28
[12*]S(=O)(=O)c1cccnc1,28
[13*]C1Cc2ccccc2S1,28
[14*]c1ncnc2[nH]ncc12,28
[4*]C(C=O)CC(C)C,28
[16*]c1ccc(C=O)cc1,28
[4*]C(CO)C(C)C,28
[16*]c1ccc2c(c1)CC(C)O2,28
[14*]c1nc2ccc(C)cc2s1,28
[5*]N1CCOc2ccccc21,28
[5*]N1CCS(=O)C(C)(C)C1,28
[4*]CC[SH](=O)=O,28
[15*]C1CCC12CCC2,28
[14*]c1ccc([N+](=O)[O-])cn1,27
[15*]C1CCOC2(CCOCC2)C1,27
[5*]N1CCc2ncsc2C1,27
[14*]c1nc2c(s1)CNCC2,27
[9*]n1nc(C)cc1Cl,27
[16*]c1c(C)n[nH]c1Cl,27
[8*]CN1CCNCC1,27
[16*]c1cnc2ccccc2c1,27
[5*]N1CC(=O)Nc2ccccc21,27
[14*]c1nnnn1C,27
[4*]C(C)CS(C)(=O)=O,27
[8*]CCCCC,27
[8*]CCCl,27
[16*]c1ccc(Cl)c([SH](=O)=O)c1,27
[16*]c1ccc2c(c1)CCCC2,27
[15*]C1CCCNCC1,27
[5*][NH+]1CC(C)C(C)C1,27
[4*]CCC1=CCCCC1,27
[6*]C(=O)NNC(N)=S,27
[3*]ONC=O,27
[14*]c1nn[nH]c1C,27
[9*]n1nncc1C,27
[4*]C(C)C(C)CC,27
[16*]c1cncc(Br)c1,27
[14*]c1ccc2nncn2n1,27
[5*]NC1CC2CCCc3cccc1c32,27
[14*]c1ncccc1F,26
[16*]c1ccc(F)c(F)c1F,26
[5*][NH+]1CCNC(=O)C1,26
[15*]C1CSC(C)C1,26
[8*]C(C)Cl,26
[10*]N1CCNCC1=O,26
[15*]C1([NH3+])CCCC1,26
[15*]C1C=CC([NH3+])C1,26
[16*]c1cc(=O)oc2ccccc12,26
[1*]C(=O)C1=Cc2ccccc2OC1,26
[16*]c1csc(C)c1,26
[15*]C1CC[NH2+]CC1C,26
[7*]=Cc1c[nH]c2ccccc12,26
[7*]=Cc1ccc(C)cc1,26
[9*]n1ncc2cncnc21,26
[5*]NC(=S)NNC=O,26
[16*]c1cc(F)ccc1C,26
[9*]n1cnnc1[S-],26
[14*]c1nnc([S-])[nH]1,26
[7*]=Cc1cccc([N+](=O)[O-])c1,26
[16*]c1ccc2ncccc2c1,26
[5*]N1CC=C(c2ccccc2)CC1,26
[14*]c1ccnc2ccnn12,25
[12*]S(=O)(=O)c1cccc(C)c1,25
[5*]N1CC(C)SC(C)C1,25
[6*]C(=O)C=O,25
[16*]c1ccc2[nH]c(=O)[nH]c2c1,25
[16*]c1ccc(C#N)cc1F,25
[5*]N1CCCC2CCCCC21,25
[16*]c1ccncc1Cl,25
[16*]c1cccc2[nH]ccc12,25
[5*]N1CC(C)OCC1(C)C,25
[5*]N1CCOC2CCCCC21,25
[5*]N1CCCSCC1,25
[5*]NC1c2ccccc2CC1O,25
[16*]c1ccccc1S(C)(=O)=O,25
[9*]n1cc[nH+]c1C,25
[16*]c1cccc2ccoc12,25
[16*]c1cc2ccccc2[nH]c1=O,25
[5*]N1CCNC(=O)CC1,25
[9*]n1cnnc1C,25
[1*]C(=O)CCC(=O)[O-],25
[8*]C(C)C(=O)[O-],25
[8*]C[NH+]1CCCCC1,25
[5*]N1CCCS1(=O)=O,25
[10*]N1C(=O)C2C3C=CC(C3)C2C1=O,25
[5*]NC1CCCn2ncnc21,25
[14*]c1nc2n(n1)CCCC2N,25
[5*]N1CCOc2ccccc2C1,25
[13*]C1C[NH+]=C(N)N1,25
[15*]C1CCOC2(CCC2)C1,25
[10*]N1CNc2ccccc2C1=O,24
[9*]n1cnc2c1c(=O)n(C)c(=O)n2C,24
[15*]C1Cc2ccccc2C1,24
[15*]C1CCOC2(CCCC2)C1,24
[5*][NH+]1CCC1,24
[5*]N1CCC(C)CC1C,24
[13*]C1CN2CCCC2CO1,24
[4*]CC(O)CO,24
[14*]c1nccc2ccccc12,24
[16*]c1cnoc1,24
[16*]c1conc1C,24
[4*]CC(C)(C)CC,24
[12*]S(=O)(=O)c1cccc([N+](=O)[O-])c1,24
[5*][NH+]1CCSCC1,24
[15*]C1(O)CCCC1,24
[15*]C1CCC(C)C1,24
[16*]c1cccc(F)c1C,24
[13*]C1[NH+]=c2ccccc2=[NH+]1,24
[5*]N1CC(C)CCC1C,24
[14*]c1nc2sccc2c(=O)[nH]1,24
[16*]c1cccc(S(C)(=O)=O)c1,24
[14*]c1nnn[n-]1,24
[14*]c1ncc[nH]c1=O,24
[9*]n1ccncc1=O,24
